season,id
2008,335982
2008,336013
2008,336014
2008,336015
2008,336016
2008,336017
2008,336018
2008,336019
2008,336020
2008,336021
2008,336022
2008,336023
2008,336025
2008,336012
2008,336026
2008,336028
2008,336029
2008,336031
2008,336032
2008,336033
2008,336034
2008,336035
2008,336036
2008,336037
2008,336038
2008,336039
2008,336040
2008,336027
2008,336011
2008,336024
2008,336009
2008,336010
2008,335984
2008,335985
2008,335986
2008,335987
2008,335988
2008,335989
2008,335990
2008,335991
2008,335992
2008,335993
2008,335994
2008,335995
2008,335983
2008,335997
2008,335996
2008,336007
2008,336006
2008,336005
2008,336004
2008,336003
2008,336008
2008,336001
2008,336000
2008,335999
2008,335998
2008,336002
2009,392224
2009,392222
2009,392221
2009,392213
2009,392220
2009,392217
2009,392218
2009,392216
2009,392215
2009,392214
2009,392225
2009,392219
2009,392226
2009,392232
2009,392228
2009,392229
2009,392230
2009,392231
2009,392233
2009,392234
2009,392235
2009,392236
2009,392237
2009,392238
2009,392239
2009,392212
2009,392227
2009,392211
2009,392223
2009,392209
2009,392181
2009,392182
2009,392183
2009,392184
2009,392185
2009,392186
2009,392188
2009,392190
2009,392191
2009,392192
2009,392194
2009,392195
2009,392196
2009,392189
2009,392198
2009,392197
2009,392207
2009,392206
2009,392205
2009,392204
2009,392203
2009,392208
2009,392201
2009,392200
2009,392199
2009,392210
2009,392202
2010,419149
2010,419148
2010,419147
2010,419146
2010,419145
2010,419144
2010,419141
2010,419142
2010,419140
2010,419139
2010,419138
2010,419143
2010,419150
2010,419164
2010,419152
2010,419153
2010,419154
2010,419155
2010,419156
2010,419157
2010,419158
2010,419159
2010,419160
2010,419161
2010,419162
2010,419163
2010,419137
2010,419165
2010,419151
2010,419136
2010,419133
2010,419134
2010,419106
2010,419107
2010,419135
2010,419109
2010,419110
2010,419111
2010,419112
2010,419113
2010,419114
2010,419115
2010,419116
2010,419117
2010,419118
2010,419108
2010,419120
2010,419119
2010,419132
2010,419130
2010,419129
2010,419128
2010,419127
2010,419131
2010,419125
2010,419124
2010,419123
2010,419122
2010,419121
2010,419126
2011,501253
2011,501240
2011,501243
2011,501244
2011,501245
2011,501246
2011,501249
